Unit#,LOB,Order#,Rec Req Date,stop_no,Actual Fuel Date,Next Fuel Date,Purchase Type,Actual Fuel Type,Rec Stop (P or A),Rec Stop Chain,Rec Gallons,Rec Stop PPG,Location Compliant,Gallon Over/Under ,Actual Stop,Actual Gallons,Actual PPG,PPG on Req Date,Next Actual Stop,Next PPG on Req Date,Dispatch has Re-opt,Measure Names,Actual Fuel Chain,Next Fuel Chain,Measure Values
220713,Line Haul,AQF3331-01,6/5/2026,1,6/5/2026,6/7/2026,Fill,Primary,OR715,PILOT,117.8,,Y,Under,OR715,74.9,,,WA202,,N,Total Noncompliant Cost,PILOT,LOVES,23.56497
220713,Line Haul,AQF3331-01,6/5/2026,1,6/5/2026,6/7/2026,Fill,Primary,OR715,PILOT,117.8,,Y,Under,OR715,74.9,,,WA202,,N,Location Noncompliant Cost,PILOT,LOVES,0
220713,Line Haul,AQF3331-01,6/5/2026,1,6/5/2026,6/7/2026,Fill,Primary,OR715,PILOT,117.8,,Y,Under,OR715,74.9,,,WA202,,N,Gallon Over/Under Cost,PILOT,LOVES,23.56497
220713,Line Haul,AQF3331-01,6/5/2026,1,6/5/2026,6/7/2026,Fill,Primary,OR715,PILOT,117.8,,Y,Under,OR715,74.9,,,WA202,,N,Gallon Over/Under,PILOT,LOVES,42.9
220713,Line Haul,AQF3331-01,6/5/2026,1,6/5/2026,6/7/2026,Fill,Primary,OR715,PILOT,117.8,,Y,Under,OR715,74.9,,,WA202,,N,Fuel Rec Count,PILOT,LOVES,1
220713,Line Haul,AQH6517-01,6/8/2026,1,6/8/2026,6/13/2026,Partial,Primary,WA508,LOVES,60,,Y,Allowable,WA508,61.0,,,WA508,,N,Total Noncompliant Cost,LOVES,LOVES,0
220713,Line Haul,AQH6517-01,6/8/2026,1,6/8/2026,6/13/2026,Partial,Primary,WA508,LOVES,60,,Y,Allowable,WA508,61.0,,,WA508,,N,Location Noncompliant Cost,LOVES,LOVES,0
220713,Line Haul,AQH6517-01,6/8/2026,1,6/8/2026,6/13/2026,Partial,Primary,WA508,LOVES,60,,Y,Allowable,WA508,61.0,,,WA508,,N,Gallon Over/Under Cost,LOVES,LOVES,0
220713,Line Haul,AQH6517-01,6/8/2026,1,6/8/2026,6/13/2026,Partial,Primary,WA508,LOVES,60,,Y,Allowable,WA508,61.0,,,WA508,,N,Gallon Over/Under,LOVES,LOVES,0
220713,Line Haul,AQH6517-01,6/8/2026,1,6/8/2026,6/13/2026,Partial,Primary,WA508,LOVES,60,,Y,Allowable,WA508,61.0,,,WA508,,N,Fuel Rec Count,LOVES,LOVES,1
220713,Line Haul,AQX1756-01,7/1/2026,1,7/2/2026,7/3/2026,Partial,Primary,WA262,PILOT,60,,Y,Over,WA262,90.2,,,WA262,,N,Total Noncompliant Cost,PILOT,PILOT,-1.751056400
220713,Line Haul,AQX1756-01,7/1/2026,1,7/2/2026,7/3/2026,Partial,Primary,WA262,PILOT,60,,Y,Over,WA262,90.2,,,WA262,,N,Location Noncompliant Cost,PILOT,PILOT,0
220713,Line Haul,AQX1756-01,7/1/2026,1,7/2/2026,7/3/2026,Partial,Primary,WA262,PILOT,60,,Y,Over,WA262,90.2,,,WA262,,N,Gallon Over/Under Cost,PILOT,PILOT,-1.751056400
220713,Line Haul,AQX1756-01,7/1/2026,1,7/2/2026,7/3/2026,Partial,Primary,WA262,PILOT,60,,Y,Over,WA262,90.2,,,WA262,,N,Gallon Over/Under,PILOT,PILOT,30.2
220713,Line Haul,AQX1756-01,7/1/2026,1,7/2/2026,7/3/2026,Partial,Primary,WA262,PILOT,60,,Y,Over,WA262,90.2,,,WA262,,N,Fuel Rec Count,PILOT,PILOT,1
220713,Line Haul,AQX2459-01,7/8/2026,1,7/9/2026,7/10/2026,Fill,Primary,WA262,PILOT,146.4,,Y,Under,WA262,111.9,,,WA270,,N,Total Noncompliant Cost,PILOT,LOVES,0
220713,Line Haul,AQX2459-01,7/8/2026,1,7/9/2026,7/10/2026,Fill,Primary,WA262,PILOT,146.4,,Y,Under,WA262,111.9,,,WA270,,N,Location Noncompliant Cost,PILOT,LOVES,0
220713,Line Haul,AQX2459-01,7/8/2026,1,7/9/2026,7/10/2026,Fill,Primary,WA262,PILOT,146.4,,Y,Under,WA262,111.9,,,WA270,,N,Gallon Over/Under Cost,PILOT,LOVES,0
220713,Line Haul,AQX2459-01,7/8/2026,1,7/9/2026,7/10/2026,Fill,Primary,WA262,PILOT,146.4,,Y,Under,WA262,111.9,,,WA270,,N,Gallon Over/Under,PILOT,LOVES,34.46
220713,Line Haul,AQX2459-01,7/8/2026,1,7/9/2026,7/10/2026,Fill,Primary,WA262,PILOT,146.4,,Y,Under,WA262,111.9,,,WA270,,N,Fuel Rec Count,PILOT,LOVES,1
220713,Line Haul,ARC3848-01,7/10/2026,1,7/10/2026,7/13/2026,Fill,Primary,WA270,LOVES,115,,Y,Under,WA270,78.1,,,WA262,,N,Total Noncompliant Cost,LOVES,PILOT,-1.08556203
220713,Line Haul,ARC3848-01,7/10/2026,1,7/10/2026,7/13/2026,Fill,Primary,WA270,LOVES,115,,Y,Under,WA270,78.1,,,WA262,,N,Location Noncompliant Cost,LOVES,PILOT,0
220713,Line Haul,ARC3848-01,7/10/2026,1,7/10/2026,7/13/2026,Fill,Primary,WA270,LOVES,115,,Y,Under,WA270,78.1,,,WA262,,N,Gallon Over/Under Cost,LOVES,PILOT,-1.08556203
220713,Line Haul,ARC3848-01,7/10/2026,1,7/10/2026,7/13/2026,Fill,Primary,WA270,LOVES,115,,Y,Under,WA270,78.1,,,WA262,,N,Gallon Over/Under,LOVES,PILOT,36.89
220713,Line Haul,ARC3848-01,7/10/2026,1,7/10/2026,7/13/2026,Fill,Primary,WA270,LOVES,115,,Y,Under,WA270,78.1,,,WA262,,N,Fuel Rec Count,LOVES,PILOT,1
220713,Line Haul,ARC6999-01,7/7/2026,1,7/7/2026,7/9/2026,Fill,Primary,WA015,TAPET,129.7,,Y,Under,WA015,88.6,,,WA262,,N,Total Noncompliant Cost,TAPET,PILOT,-10.7181813
220713,Line Haul,ARC6999-01,7/7/2026,1,7/7/2026,7/9/2026,Fill,Primary,WA015,TAPET,129.7,,Y,Under,WA015,88.6,,,WA262,,N,Location Noncompliant Cost,TAPET,PILOT,0
220713,Line Haul,ARC6999-01,7/7/2026,1,7/7/2026,7/9/2026,Fill,Primary,WA015,TAPET,129.7,,Y,Under,WA015,88.6,,,WA262,,N,Gallon Over/Under Cost,TAPET,PILOT,-10.7181813
220713,Line Haul,ARC6999-01,7/7/2026,1,7/7/2026,7/9/2026,Fill,Primary,WA015,TAPET,129.7,,Y,Under,WA015,88.6,,,WA262,,N,Gallon Over/Under,TAPET,PILOT,41.1
220713,Line Haul,ARC6999-01,7/7/2026,1,7/7/2026,7/9/2026,Fill,Primary,WA015,TAPET,129.7,,Y,Under,WA015,88.6,,,WA262,,N,Fuel Rec Count,TAPET,PILOT,1
220713,Line Haul,ARE3136-01,7/3/2026,1,7/4/2026,7/5/2026,Fill,Primary,OR715,PILOT,97.6,,Y,Under,OR715,74.3,,,OR715,,N,Total Noncompliant Cost,PILOT,PILOT,-0.749050620
220713,Line Haul,ARE3136-01,7/3/2026,1,7/4/2026,7/5/2026,Fill,Primary,OR715,PILOT,97.6,,Y,Under,OR715,74.3,,,OR715,,N,Location Noncompliant Cost,PILOT,PILOT,0
220713,Line Haul,ARE3136-01,7/3/2026,1,7/4/2026,7/5/2026,Fill,Primary,OR715,PILOT,97.6,,Y,Under,OR715,74.3,,,OR715,,N,Gallon Over/Under Cost,PILOT,PILOT,-0.749050620
220713,Line Haul,ARE3136-01,7/3/2026,1,7/4/2026,7/5/2026,Fill,Primary,OR715,PILOT,97.6,,Y,Under,OR715,74.3,,,OR715,,N,Gallon Over/Under,PILOT,PILOT,23.34
220713,Line Haul,ARE3136-01,7/3/2026,1,7/4/2026,7/5/2026,Fill,Primary,OR715,PILOT,97.6,,Y,Under,OR715,74.3,,,OR715,,N,Fuel Rec Count,PILOT,PILOT,1
220713,Line Haul,ARF0958-01,7/5/2026,1,7/5/2026,7/7/2026,Fill,Primary,OR715,PILOT,144,,Y,Under,OR715,90.8,,,WA015,,N,Total Noncompliant Cost,PILOT,TAPET,34.249041
220713,Line Haul,ARF0958-01,7/5/2026,1,7/5/2026,7/7/2026,Fill,Primary,OR715,PILOT,144,,Y,Under,OR715,90.8,,,WA015,,N,Location Noncompliant Cost,PILOT,TAPET,0
220713,Line Haul,ARF0958-01,7/5/2026,1,7/5/2026,7/7/2026,Fill,Primary,OR715,PILOT,144,,Y,Under,OR715,90.8,,,WA015,,N,Gallon Over/Under Cost,PILOT,TAPET,34.249041
